小区,朝向,行政区,街区,房屋面积,卧室,客厅,厕所,楼层相对位置,楼层,发布时长,每月租金,经度,纬度,1000米内最近地铁站距离,1000米内最近公交车站距离,1000米内购物中心数量,1000米内公司数量,1000米内公园数量,1000米内医院数量,房屋类型,是否朝南
章家巷小区,南,普陀,甘泉宜川,68.32,2,1,1,中楼层,6,3,5700,121.4391371,31.26827449,2,1,3,91,6,4,4,1
九城湖滨国际,南/北,松江,九亭,58.13,1,2,1,低楼层,16,3,5700,121.3253615,31.15572897,3,1,2,65,1,0,4,1
宝林枫景苑,南,宝山,淞宝,82,2,1,1,低楼层,34,6,6500,121.4939468,31.3748894,2,1,0,91,0,0,4,1
恒大小区,南,浦东,世博,60,2,1,1,高楼层,6,4,6000,121.5160638,31.17559253,1,1,1,76,2,1,4,1
中核锦悦府,南,青浦,徐泾,149,4,2,2,低楼层,8,2,14800,121.293849,31.18536989,1,1,1,46,0,1,4,1
益健小区,南,长宁,中山公园,34.1,1,1,1,中楼层,6,1,5600,121.4143322,31.22567423,2,1,4,93,2,9,4,1
宏宝公寓,南,宝山,杨行,76.82,2,1,1,高楼层,6,1,4700,121.4382557,31.37817295,1,1,3,109,0,0,4,1
江悦名庭,南,浦东,杨思前滩,63.75,1,1,1,高楼层,21,1,11000,121.4865048,31.1545915,2,1,0,50,1,1,4,1
河风丽景,南,长宁,天山,83.8,1,2,1,高楼层,16,3,10500,121.3855872,31.22281625,1,1,4,84,3,3,4,1
万乐城(商业类),北,闵行,吴泾,21.79,1,0,1,高楼层,19,9,2100,121.4521527,31.04491722,1,1,2,43,0,0,4,0
康平小区,南,静安,彭浦,49.85,1,1,1,高楼层,14,8,5000,121.446738,31.28963939,2,1,3,73,4,0,4,1
开鲁四村,南,杨浦,中原,59.26,2,1,1,高楼层,6,1,3800,121.536915,31.33200197,1,1,2,80,1,3,4,1
恒大华城天地苑,南,浦东,杨思前滩,92.84,2,2,1,中楼层,9,6,13500,121.4916339,31.16481037,2,1,2,73,1,0,4,1
东一小区,南,浦东,金桥,53.5,1,1,1,中楼层,6,6,5500,121.602715,31.276437,2,1,1,87,1,2,4,1
真光九街坊,南,普陀,真光,36.36,1,0,1,中楼层,6,2,4000,121.3922785,31.25494335,1,1,3,45,5,0,4,1
祥源福邸,南/北,嘉定,南翔,59.64,2,2,1,高楼层,6,2,4250,121.3276125,31.29307298,2,1,3,95,5,1,4,1
上海未来,南,浦东,金杨,133.31,3,2,2,中楼层,11,1,16000,121.5787654,31.2593874,1,1,8,86,2,3,4,1
阳景小区,南/北,静安,彭浦,41.5,2,1,1,中楼层,6,1,5000,121.464343,31.32469286,3,1,0,98,1,0,4,1
百花村,南,长宁,新华路,17.4,1,1,1,低楼层,3,4,4700,121.4304634,31.21085518,2,1,4,90,6,11,4,1
枫庭丽苑,南,宝山,大华,98.79,3,2,1,低楼层,11,1,7800,121.414399,31.28387487,3,1,3,85,2,1,4,1
康健星辰,南,徐汇,康健,146.79,3,2,2,低楼层,7,3,22500,121.4433964,31.19455677,2,1,21,96,1,4,4,1
安阁苑,南,浦东,周浦,72,2,2,1,中楼层,5,2,3600,121.5975186,31.09326635,3,1,0,31,0,0,4,1
闻喜路251弄,南,静安,彭浦,47.57,2,1,1,低楼层,6,2,6000,121.4585532,31.31456896,1,1,0,78,2,5,4,1
上南翡翠苑,南/北,浦东,杨思前滩,74,2,1,1,中楼层,5,1,8300,121.501787,31.15639384,1,1,2,92,1,2,4,1
世纪之门,西北,普陀,长寿路,59.36,1,1,1,中楼层,23,2,6700,121.4455031,31.25382483,2,1,5,109,5,5,4,0
好世鹿鸣苑,东,闵行,莘庄,49.45,1,1,1,低楼层,17,9,6300,121.390722,31.11108195,2,1,5,91,3,2,4,0
龙湖春江天玺,复式,奉贤,奉贤金汇,148.81,4,2,3,中楼层,8,1,6500,121.518322,30.97577488,3,1,0,30,1,0,2,1
上海蟠龙天地,南,青浦,徐泾,99,3,2,2,低楼层,16,2,10500,121.284554,31.193877,1,1,0,81,0,3,4,1
万象园,南,徐汇,康健,77.85,2,1,1,中楼层,6,1,6500,121.4173405,31.16808262,1,1,0,108,2,3,4,1
芙蓉花苑,南,普陀,武宁,95,3,2,2,中楼层,7,3,11800,121.436796,31.25214384,1,1,2,106,3,2,4,1
康桥阳光大厦,西,浦东,御桥,32.38,1,1,1,中楼层,8,6,2700,121.574054,31.154661,3,1,2,82,0,1,4,0
五岭小区,南,黄浦,打浦桥,30.3,1,1,1,中楼层,7,1,6500,121.4799635,31.20579781,1,1,10,104,2,8,4,1
绿地海怡公寓,南,长宁,中山公园,59.3,1,1,1,中楼层,27,4,8000,121.4353043,31.21771197,3,1,5,100,6,12,4,1
好世鹿鸣苑,南,闵行,莘庄,100.77,2,2,1,高楼层,17,8,13000,121.390722,31.11108195,2,1,5,91,3,2,4,1
潍坊九村,南,浦东,潍坊,36.36,1,1,1,高楼层,6,8,5800,121.531438,31.22873469,2,1,12,100,3,1,4,1
紫翠苑,南,浦东,高行,77.5,2,2,1,低楼层,6,1,5500,121.6198945,31.30750608,3,1,1,82,0,1,4,1
梧桐城邦(二期),南/北,宝山,大华,134.04,3,2,2,高楼层,5,6,9000,121.4171825,31.29532449,2,1,1,81,0,1,4,1
东方悦耀,南,浦东,杨思前滩,74,1,1,1,中楼层,36,3,12000,121.489424,31.15600988,1,1,2,81,1,0,4,1
梅陇四村,南/北,徐汇,华东理工,60.27,2,1,1,中楼层,6,2,6500,121.4277736,31.14278243,2,1,4,93,3,1,4,1
控江路1200弄,南,杨浦,控江路,29.61,1,0,1,中楼层,5,8,3000,121.5523642,31.29379328,3,1,2,106,2,3,4,1
博山小区,南,浦东,洋泾,65.41,2,1,1,高楼层,6,6,7000,121.562591,31.252661,2,1,3,89,2,2,4,1
翰城国际,南,浦东,杨思前滩,105.18,2,2,1,中楼层,12,3,9000,121.5165034,31.16062302,2,1,1,98,0,3,4,1
馨佳园(菊泉街1280弄),南,宝山,顾村,52.78,1,1,1,中楼层,11,6,3500,121.3803053,31.36652962,3,1,0,108,1,0,4,1
乾溪二村,南,宝山,大场镇,72.24,2,1,1,中楼层,6,3,5200,121.409873,31.31203386,2,1,1,92,1,0,4,1
金地褐石苑,南,松江,泗泾,85.56,3,2,1,高楼层,18,1,6300,121.261071,31.11948082,2,1,1,45,0,1,4,1
金霞苑,南,嘉定,江桥,72.01,2,2,1,低楼层,6,1,5300,121.3238671,31.25188768,2,1,2,94,1,2,4,1
新华小区（龙吴路5599弄）,南/北,闵行,吴泾,76,2,1,1,低楼层,6,1,4300,121.4744872,31.04580108,2,1,1,78,1,1,4,1
闸园新村,南,奉贤,西渡,32.45,1,0,1,高楼层,6,9,1600,121.4401591,31.0013858,2,1,1,102,3,0,4,1
龙柏三村,南,闵行,龙柏,48.8,1,1,1,高楼层,6,4,5500,121.3757172,31.18420938,1,1,8,84,3,2,4,1
西郊九韵城,南,闵行,华漕,90,3,1,1,中楼层,6,3,5500,121.3019452,31.21783758,3,1,2,65,1,0,4,1
健安坊,南,徐汇,康健,64.2,2,1,1,高楼层,4,7,6300,121.430442,31.16338541,2,1,2,101,2,2,4,1
恒大星级公寓,南,浦东,世博,96.19,2,2,2,低楼层,6,1,8600,121.5191008,31.17583854,1,1,1,80,0,1,4,1
延平路430-440号,东,静安,曹家渡,45,1,1,1,低楼层,6,9,7200,121.4446208,31.23959548,1,1,5,92,0,9,4,0
共康四村,南,静安,彭浦,38.04,1,1,1,中楼层,6,5,3500,121.4427361,31.32392106,3,1,1,88,1,4,4,1
爱丽雅花苑,南/北,松江,松江老城,109.28,2,2,2,低楼层,12,1,5600,121.2634831,31.02186424,3,1,0,106,0,0,4,1
海富公寓,南,长宁,新华路,88.19,2,1,1,中楼层,24,4,10000,121.4334185,31.2114931,2,1,2,87,5,6,4,1
通阁小区,南,静安,西藏北路,38.76,1,1,2,中楼层,7,3,5200,121.477372,31.26726085,1,1,0,97,0,12,4,1
红庄小区,南,长宁,新华路,72.68,2,1,1,高楼层,18,1,11000,121.439753,31.20838096,1,1,9,98,6,10,4,1
崮山小区二街坊,南,浦东,洋泾,45.64,1,1,1,低楼层,6,3,4800,121.569818,31.245028,2,1,3,95,2,0,4,1
控江路1200弄,南,杨浦,控江路,31.79,1,1,1,低楼层,6,6,3600,121.5523642,31.29379328,3,1,2,106,2,3,4,1
东川花苑,南/北,闵行,老闵行,58.2,2,1,1,高楼层,6,1,3500,121.4324509,31.02227281,1,1,1,99,2,1,4,1
佳日公寓,南,黄浦,豫园,105,2,2,2,中楼层,23,9,13000,121.4939967,31.23067965,1,1,14,84,5,7,4,1
崧泽华城逸泰雅苑,南,青浦,赵巷,80,3,1,1,高楼层,16,1,3800,121.1673868,31.16200376,3,1,0,115,0,0,4,1
美罗家园宝欣苑八村,南,宝山,罗店,48.78,1,1,1,中楼层,18,7,3200,121.3470154,31.38941409,3,1,1,30,0,0,4,1
城林雅苑,南,浦东,三林,67.12,2,2,1,中楼层,28,3,6200,121.514616,31.13369,3,1,1,34,0,0,4,1
恒杰丁香花园,南,松江,松江大学城,148.79,3,2,2,高楼层,6,7,6600,121.193637,31.05015187,3,1,0,36,0,0,4,1
天山怡景苑,南,长宁,天山,85.91,2,2,1,低楼层,16,2,12000,121.3902428,31.22391637,2,1,4,99,2,6,4,1
川杨新苑(二期),南,浦东,张江,60,1,1,1,高楼层,6,4,6800,121.632103,31.19288,1,1,0,69,2,0,4,1
馨泰佳苑,南,闵行,华漕,82.3,2,1,3,中楼层,14,1,5000,121.294733,31.22298085,3,1,1,85,1,3,4,1
绿地峰尚汇,东南,闵行,浦江,45.51,2,1,1,中楼层,8,1,5100,121.5173291,31.0856512,2,1,1,101,0,0,4,0
彭五小区,南,静安,彭浦,28.6,1,0,1,高楼层,5,1,3400,121.4602573,31.31586043,2,1,0,71,2,4,4,1
翔华新村,南/北,嘉定,南翔,78,2,1,1,高楼层,6,1,3800,121.312635,31.29192384,3,1,1,111,0,2,4,1
承兴里,南,黄浦,人民广场,20.2,1,0,1,高楼层,3,1,3500,121.4750878,31.24300938,1,1,18,95,3,10,4,1
友联大楼,南,长宁,中山公园,71.06,2,1,1,低楼层,18,6,9500,121.4204778,31.21857282,1,1,12,89,6,13,4,1
永德小区永北,南/北,闵行,吴泾,49,1,1,1,高楼层,5,8,2500,121.4718724,31.05042822,2,1,1,77,0,1,4,1
秀苑小区,南,虹口,凉城,107.14,2,2,1,低楼层,26,6,8000,121.47631,31.29501584,2,1,4,81,1,4,4,1
绿缘公寓,南/北,浦东,花木,170.86,3,2,2,低楼层,18,2,15000,121.554676,31.21601,1,1,1,78,7,1,4,1
陆家嘴国际华城,南,浦东,梅园,127.42,2,2,1,低楼层,36,6,20000,121.542054,31.241847,1,1,0,95,3,6,4,1
龙湖北城天街,南,宝山,顾村,50.25,1,1,1,中楼层,24,2,4200,121.3661567,31.36767037,1,1,2,42,0,0,4,1
西镇小区(浦东),南,浦东,洋泾,54.16,2,1,1,高楼层,6,3,5500,121.556307,31.248126,1,1,2,82,2,2,4,1
三盛颐景园(住宅),南,松江,九亭,105.98,3,2,1,高楼层,6,1,5700,121.346695,31.12944888,3,1,1,75,1,0,4,1
新梅花苑,南,闵行,古美,68.98,2,1,1,中楼层,6,2,5700,121.3936624,31.13097969,2,1,0,103,1,0,4,1
南京西路公馆,西南,静安,静安寺,63.68,1,1,1,中楼层,30,1,11500,121.4449064,31.22644337,2,1,8,98,3,11,4,0
碧林湾新苑(华友路),南,闵行,七宝,78.66,3,1,3,中楼层,18,6,8100,121.3566427,31.14296309,3,1,1,108,1,1,4,1
静安新格公寓,南,静安,江宁路,48.36,1,1,1,低楼层,26,4,6800,121.4565205,31.24267138,2,1,3,109,2,15,4,1
新泾七村,南,长宁,北新泾,46.31,2,0,1,高楼层,6,1,5500,121.3687984,31.22530359,1,1,1,74,2,1,4,1
澳门大厦,南,普陀,长寿路,155.08,3,2,2,高楼层,16,5,13000,121.4422158,31.25048203,1,1,6,99,4,18,4,1
光语著,南,奉贤,南桥,91.18,3,2,2,中楼层,16,1,3700,121.512193,30.90323055,3,1,0,105,0,1,4,1
虹北公寓,南/北,虹口,江湾镇,72,2,1,1,中楼层,7,1,6000,121.4804195,31.32061786,2,1,2,100,3,2,4,1
绿地启航城,西,青浦,白鹤,51.77,1,1,1,中楼层,16,9,1800,121.1292551,31.29088268,3,1,0,0,0,0,4,0
碧云新天地(一期),南,浦东,金桥,95.78,3,1,1,低楼层,6,5,8200,121.5979787,31.26643625,2,1,2,95,1,3,4,1
长风四村,南,普陀,长风,39.81,1,1,1,高楼层,6,3,5500,121.4042721,31.23620562,1,1,4,81,4,3,4,1
共康三村,南,静安,彭浦,55.31,2,1,1,高楼层,6,4,5000,121.4437863,31.32033536,3,1,0,99,2,5,4,1
蔚蓝城市花园,南,闵行,古美,107,3,2,1,高楼层,10,4,12500,121.4116814,31.15614809,3,1,3,76,3,3,4,1
番禺大厦,北,长宁,新华路,43.14,1,1,1,高楼层,29,1,5900,121.4338789,31.21233678,2,1,2,90,5,14,4,0
铁路新村(杨浦),南/北,杨浦,五角场,51.15,2,1,1,低楼层,6,2,7000,121.5222517,31.30474478,1,1,16,85,1,3,4,1
鞍山八村,南,杨浦,鞍山,32.55,1,1,1,高楼层,6,1,5000,121.5177145,31.28592754,2,1,4,62,3,7,4,1
军民新村(海泉街),南,浦东,新场,35,1,0,1,中楼层,5,3,2100,121.650278,31.03008169,3,1,2,96,0,1,4,1
芷江西路285弄,南,静安,不夜城,32,1,1,1,中楼层,5,4,4000,121.46735,31.264512,1,1,3,84,0,8,4,1
华通大厦,南,静安,江宁路,138.51,3,1,2,中楼层,22,1,15000,121.452926,31.24156091,1,1,5,85,2,18,4,1
永和二村,南,静安,永和,54.61,2,1,1,高楼层,6,7,5400,121.435704,31.298186,3,1,0,105,1,2,4,1
园艺新村,南,闵行,七宝,39.81,2,1,1,低楼层,6,6,5000,121.3631712,31.15168623,3,1,2,96,1,2,4,1
新城香溢澜庭,北,嘉定,嘉定新城,39.2,1,2,1,中楼层,12,3,3000,121.250562,31.35569585,2,1,1,67,1,4,4,0
旭辉,南,嘉定,安亭,90.38,3,2,1,中楼层,18,9,4800,121.172224,31.323847,3,1,0,42,0,1,4,1
天山怡景苑,南,长宁,天山,103,2,1,1,中楼层,17,1,14000,121.3902428,31.22391637,2,1,4,99,2,6,4,1
悦达花苑,南,长宁,中山公园,115.36,3,2,2,中楼层,10,1,13000,121.425297,31.2195419,1,1,9,91,8,13,4,1
上海蟠龙天地,南,青浦,徐泾,99,3,2,2,低楼层,16,1,9800,121.284554,31.193877,1,1,0,81,0,3,4,1
闸殷路195弄,南,杨浦,中原,38.31,1,1,1,中楼层,6,1,3800,121.5347223,31.33572109,2,1,1,77,1,1,4,1
微山二村,南,浦东,塘桥,36.43,1,0,1,中楼层,6,8,5200,121.5198969,31.21441867,1,1,5,97,1,5,4,1
上南六村,南,浦东,世博,42.78,1,1,1,低楼层,6,2,5500,121.5069552,31.18213478,2,1,6,66,1,2,4,1
浦建727,南,浦东,塘桥,134.21,3,2,2,中楼层,25,2,18000,121.537241,31.214248,1,1,3,102,1,6,4,1
通河一村,南,宝山,张庙,57.08,1,1,1,低楼层,15,5,3950,121.4550589,31.34182506,2,1,1,88,2,4,4,1
田林十三村,南,徐汇,田林,29.74,1,1,1,高楼层,6,1,5050,121.4307281,31.17926303,2,1,5,74,1,2,4,1
涞港星苑,南/北,闵行,华漕,93,2,1,1,低楼层,14,3,5700,121.3072481,31.20641885,3,1,1,96,0,1,4,1
景虹花园,南,徐汇,龙华,119.43,3,2,2,中楼层,6,1,13800,121.4416312,31.17358803,1,1,3,87,2,11,4,1
汽车公寓小区,南,杨浦,周家嘴路,95,2,1,1,低楼层,24,3,7700,121.5257131,31.27953537,1,1,3,102,3,8,4,1
天恒名城,南/北,闵行,颛桥,120.78,3,2,1,低楼层,11,2,7800,121.3991073,31.06214109,3,1,1,102,2,0,4,1
富丽大厦,南,普陀,长寿路,114.22,3,2,2,低楼层,27,1,17000,121.4487419,31.25232335,1,1,5,106,4,5,4,1
鞍山八村,南/北,杨浦,鞍山,53,2,1,1,中楼层,6,6,5400,121.5177145,31.28592754,2,1,4,62,3,7,4,1
尚光徐汇中心,东,徐汇,徐家汇,66,2,1,1,中楼层,16,2,13000,121.435508,31.19251383,1,1,6,88,2,6,4,0
公安大楼(徐汇),南,徐汇,衡山路,47.1,1,1,1,低楼层,32,5,6200,121.45135,31.2056399,2,1,16,102,3,9,4,1
云麓之城,南/北,宝山,罗泾,90.29,3,2,2,中楼层,11,6,4500,121.344112,31.43489954,3,1,0,89,1,0,4,1
曹家巷小区,南/北,普陀,武宁,63.49,2,2,1,中楼层,6,4,5000,121.4172726,31.23443623,1,1,2,105,2,5,4,1
梅园三街坊,南,浦东,梅园,34.14,1,1,1,高楼层,6,6,5000,121.5307913,31.2403686,2,1,14,81,2,6,4,1
青春驿站,南,松江,九亭,40.24,1,1,1,中楼层,15,3,4800,121.3237935,31.14142985,1,1,2,94,0,1,4,1
枫林新村,南,徐汇,斜土路,39,1,1,1,中楼层,6,2,4900,121.466132,31.197255,1,1,4,94,2,9,4,1
玉华苑,南,宝山,大华,65.09,2,1,1,低楼层,6,1,6000,121.4158659,31.29068596,3,1,1,60,2,1,4,1
凌东苑,南/北,浦东,三林,80,2,2,1,中楼层,33,2,8500,121.496235,31.14060847,2,1,1,95,0,1,4,1
崧泽华城秀景苑(三期),南,青浦,赵巷,63,1,1,1,高楼层,16,1,3600,121.163658,31.168128,2,1,1,99,0,0,4,1
新华名门,南,长宁,新华路,165.45,3,2,2,高楼层,6,1,16999,121.432332,31.20652364,2,1,3,92,6,7,4,1
好世凤凰城,南,闵行,颛桥,93.19,2,2,1,中楼层,4,1,7200,121.3979846,31.09902182,1,1,1,97,2,1,4,1
阳光翠竹苑,南,黄浦,董家渡,146.47,3,2,2,低楼层,33,2,18800,121.5049417,31.2188909,1,1,1,102,0,2,4,1
公交新村,南,杨浦,鞍山,36.13,1,0,1,高楼层,7,7,4000,121.5125324,31.28275007,1,1,3,82,4,6,4,1
华丽家族汇景天地(商业类),东南,黄浦,五里桥,159,2,2,2,低楼层,31,1,15000,121.4843749,31.20456095,1,1,8,84,3,10,4,0
龙湖新壹城,南,松江,松江大学城,156,4,2,3,高楼层,18,3,8000,121.2438224,31.05934471,1,1,4,81,1,0,4,1
东方知音苑,南,浦东,金杨,56.1,1,1,1,低楼层,7,6,6500,121.5812174,31.26438801,2,1,5,105,2,4,4,1
金鹏花园,西,杨浦,周家嘴路,66.16,2,1,1,低楼层,24,2,7300,121.533109,31.273347,1,1,0,97,2,3,4,0
金杨新村九街坊,南,浦东,金杨,52.85,2,1,1,高楼层,6,3,5500,121.588216,31.25970489,1,1,6,90,1,3,4,1
万业梦立方,南,松江,泗泾,96.2,3,1,1,低楼层,10,4,6300,121.2635037,31.13166692,2,1,0,16,0,1,4,1
华沁家园,南/北,徐汇,植物园,89.83,2,2,1,中楼层,32,5,7000,121.4572091,31.1432574,1,1,1,96,0,0,4,1
虹桥天都国际,东/北,长宁,中山公园,55.52,1,1,1,高楼层,24,3,7500,121.4131969,31.21650082,1,1,12,94,2,10,4,0
塘桥小区,南,浦东,塘桥,30,1,1,1,高楼层,5,1,4290,121.5280237,31.21744785,1,1,5,95,1,4,4,1
德州一村,南,浦东,世博,36.11,1,1,1,高楼层,6,9,4300,121.5013235,31.17546683,1,1,3,75,5,3,4,1
海上国际花园(一期),南,浦东,北蔡,91.52,2,2,2,中楼层,15,1,9700,121.5516867,31.1873872,2,1,2,47,1,2,4,1
新时空国际商务广场,南,长宁,中山公园,41,1,1,1,中楼层,30,9,5500,121.4234141,31.2230704,1,1,9,47,9,8,4,1
中远两湾城,南,普陀,中远两湾城,103.24,2,2,1,低楼层,33,6,9800,121.4476989,31.25805502,1,1,0,103,6,1,4,1
龙湖北城天街,南,宝山,顾村,47,2,2,1,低楼层,16,7,5000,121.3661567,31.36767037,1,1,2,42,0,0,4,1
合生江湾国际公寓,南,杨浦,新江湾城,92.25,2,2,1,低楼层,11,1,9800,121.5216047,31.34377622,1,1,1,20,3,0,4,1
长宁路1600弄,北/东北,长宁,中山公园,34.61,2,0,1,低楼层,7,9,5500,121.4138457,31.22393483,2,1,7,89,2,11,4,0
崂山六村,南,浦东,梅园,54.2,2,0,1,中楼层,5,1,6900,121.524028,31.2442509,1,1,10,98,4,5,4,1
嘉茵苑,南,静安,大宁,119.76,3,2,1,中楼层,6,1,9500,121.4418101,31.28284998,1,1,4,92,7,2,4,1
合生时代锦苑(公寓),南/北,浦东,杨思前滩,104,3,2,1,低楼层,20,4,13500,121.4963748,31.15795813,2,1,2,88,1,1,4,1
南阳小区,南,静安,南京西路,49.2,1,1,1,低楼层,25,1,8200,121.4574237,31.23389827,2,1,22,106,3,17,4,1
杉林新月环林东路799弄,南/北,浦东,三林,74,2,1,1,中楼层,6,2,5800,121.538785,31.148738,2,1,1,27,0,1,4,1
嘉汇国际广场,南,徐汇,徐家汇,62.52,1,1,1,低楼层,35,1,6500,121.4495923,31.19463662,1,1,18,85,2,8,4,1
恒阳花苑,南,杨浦,鞍山,66.15,2,1,1,高楼层,25,1,7300,121.5152082,31.27509659,1,1,6,93,3,10,4,1
建新小区,南,杨浦,五角场,51.23,2,1,1,高楼层,6,3,6800,121.517869,31.30649888,1,1,15,70,1,5,4,1
精文城上城,南,静安,西藏北路,142.27,3,2,2,中楼层,33,6,13000,121.471481,31.25574991,2,1,4,102,2,7,4,1
好世鹿鸣苑,南,闵行,莘庄,90.68,2,1,1,中楼层,17,9,9500,121.390722,31.11108195,2,1,5,91,3,2,4,1
虹桥金茂悦,南/北,青浦,华新,99.49,3,2,2,中楼层,17,6,6300,121.239741,31.242468,3,1,5,93,1,0,4,1
淞南新新五村,南,宝山,淞南,70.32,2,1,1,高楼层,6,6,5200,121.4933395,31.34477585,2,1,5,77,1,1,4,1
新泾七村,西,长宁,北新泾,39.57,1,1,1,低楼层,6,7,5000,121.3687984,31.22530359,1,1,1,74,2,1,4,0
新顾城广福苑,南,宝山,顾村,85,2,1,1,中楼层,18,9,3000,121.3557384,31.36440294,2,1,0,19,0,0,4,1
临沂三村,南,浦东,南码头,57.45,2,1,1,中楼层,6,2,6600,121.515889,31.199079,1,1,3,82,1,2,4,1
联运大厦,南,奉贤,南桥,49.1,1,1,1,中楼层,5,1,2800,121.475591,30.91932268,3,1,2,99,2,5,4,1
中紫小区,东,长宁,虹桥,15.4,1,0,1,高楼层,5,1,4200,121.4171578,31.21309314,2,1,12,106,2,4,4,0
仁和都市花园,南/北,浦东,御桥,125.3,3,2,2,高楼层,18,3,17500,121.4839973,31.34334376,1,1,4,87,2,0,4,1
路易凯旋宫,南,长宁,中山公园,91.45,2,2,1,低楼层,22,1,16000,121.4254362,31.22098948,1,1,9,89,8,10,4,1
华鼎广场,南,徐汇,田林,109.3,2,1,1,中楼层,31,3,10800,121.438457,31.18648389,2,1,7,111,2,5,4,1
康平大楼,西北,徐汇,衡山路,47.45,1,1,1,低楼层,20,7,9000,121.4500001,31.21031469,1,1,5,97,5,9,4,0
绿地香颂(奉贤)(公寓),南,奉贤,海湾,62,2,1,1,高楼层,8,1,1800,121.518213,30.832417,3,1,0,15,0,0,4,1
和源馨苑,东南/南,静安,西藏北路,67.31,2,1,1,中楼层,31,4,7200,121.473918,31.25465185,2,1,3,109,3,6,4,1
瑞嘉苑,南,虹口,临平路,111.01,2,2,1,高楼层,21,2,13000,121.495268,31.261926,1,1,6,96,5,8,4,1
胶州路424弄,南,静安,曹家渡,47.55,2,1,1,高楼层,6,1,8000,121.4487223,31.23748652,1,1,6,88,1,19,4,1
武宁一村,南,普陀,武宁,39.07,1,1,1,中楼层,5,2,3700,121.431904,31.2458209,1,1,5,110,1,0,4,1
福泰公寓,南/北,静安,大宁,100.07,2,2,1,低楼层,15,1,9500,121.4627221,31.2709661,2,1,2,83,2,11,4,1
梅陇六村,南/北,徐汇,华东理工,49.08,2,1,1,高楼层,6,8,4200,121.4260039,31.13860986,3,1,3,91,4,0,4,1
天诚花苑,东南,长宁,中山公园,110.4,2,2,2,低楼层,27,4,10800,121.4291167,31.21845291,2,1,9,99,7,13,4,0
皇都花园三期,南/北,闵行,七宝,198,4,2,3,低楼层,24,6,28000,121.3734821,31.14420307,2,1,2,91,3,0,4,1
万乐城(商业类),南,闵行,吴泾,28.75,1,1,1,中楼层,18,3,2700,121.4521527,31.04491722,1,1,2,43,0,0,4,1
马桥景城馨苑,南,闵行,老闵行,79.18,2,1,1,中楼层,18,7,4000,121.3770755,31.02300757,3,1,0,81,0,0,4,1
荣信虹桥世嘉,南,闵行,金虹桥,63.07,1,1,1,高楼层,24,3,8700,121.3999535,31.17964683,2,1,1,96,2,4,4,1
天山三村,西/北,长宁,中山公园,25.24,1,1,1,中楼层,6,6,3800,121.4132884,31.21928658,1,1,12,89,3,9,4,0
瞿溪路463弄,南,黄浦,蓬莱公园,39.41,2,0,1,中楼层,5,8,6000,121.494563,31.20911287,1,1,2,88,3,8,4,1
玉田新村,南,虹口,曲阳,29.1,1,0,1,中楼层,5,2,3300,121.5022262,31.28282089,1,1,2,95,1,5,4,1
名都古北,南,闵行,金虹桥,123.97,2,2,2,中楼层,18,8,20000,121.4066448,31.19363261,2,1,0,95,1,0,4,1
虹纺小区,南,长宁,虹桥,49.1,2,1,1,高楼层,6,9,6700,121.395589,31.208009,1,1,2,85,3,2,4,1
国际丽都城,南,静安,南京西路,164.99,3,2,2,中楼层,23,1,32000,121.465945,31.23963755,1,1,15,85,4,11,4,1
体院小区,南/北,杨浦,中原,50.08,2,1,1,高楼层,4,3,5800,121.528335,31.31898056,2,1,8,85,1,7,4,1
平南三四村,南,闵行,古美,53.67,1,1,1,中楼层,6,1,5300,121.3970422,31.15790714,1,1,1,90,1,0,4,1
泉东(二)小区,南,浦东,潍坊,44.11,2,1,1,高楼层,6,6,7200,121.5289378,31.23293721,1,1,18,101,2,3,4,1
浦城小区,南,浦东,陆家嘴,73.52,2,1,1,中楼层,6,2,8500,121.521573,31.23048,1,1,14,77,2,2,4,1
年吉路220弄,南,宝山,罗店,71,2,1,1,中楼层,18,3,4000,121.3623043,31.40113762,2,1,2,55,1,0,4,1
锦泰苑,南,宝山,上大,83.13,2,1,1,高楼层,6,3,4900,121.3870432,31.32279482,1,1,4,37,0,0,4,1
天汇广场,南,普陀,真如,44.83,1,1,1,高楼层,27,1,5500,121.409884,31.26230584,2,1,5,81,2,1,4,1
灵新小区,南,虹口,凉城,46.04,1,1,1,中楼层,25,2,4600,121.4859254,31.29396484,1,1,3,109,1,6,4,1
四方新城,南/北,静安,静安寺,138.51,3,2,2,低楼层,21,6,28000,121.4618439,31.22839973,2,1,28,87,4,9,4,1
华狮国际公寓,南,徐汇,徐家汇,60,1,1,1,中楼层,19,1,8000,121.4482716,31.19707912,2,1,21,90,3,9,4,1
水塘小区,南/北,普陀,真如,46.82,2,0,1,高楼层,7,1,4800,121.4061048,31.25526656,1,1,5,87,4,3,4,1
鸿旭豪苑,东南,虹口,北外滩,117.69,2,2,1,低楼层,33,6,11000,121.5181466,31.26423429,1,1,5,92,2,7,4,0
绿色丽园,南,静安,大宁,87.06,2,1,1,低楼层,14,2,8600,121.4543635,31.280257,2,1,3,69,6,11,4,1
天华公寓,南,长宁,天山,85.04,2,1,1,中楼层,24,8,8500,121.401578,31.21753532,1,1,9,104,4,3,4,1
虹桥宝龙城,南,青浦,华新,113.28,3,2,1,中楼层,18,1,5000,121.241797,31.237496,3,1,4,100,0,0,4,1
美邻苑,南,闵行,华漕,84.87,2,2,1,高楼层,6,5,4800,121.2894557,31.20757886,1,1,1,20,1,1,4,1
