,行政区,月租中位数
0,徐汇区,7500
1,静安区,7000
2,宝山区,4800
3,浦东新区,6600
4,青浦区,5500
5,长宁区,7500
6,奉贤区,3000
7,普陀区,5800
8,松江区,5050
9,黄浦区,11000
10,嘉定区,4700
11,虹口区,6300
12,闵行区,6200
13,金山区,2500
14,杨浦区,5500
15,崇明区,2700
